21,0 21.414.976 12 1.784.581,0 571.904,0 212.096 8.922.464 2.599.661,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.419.392 12 1.784.949,0 568.560,0 210.176 8.937.760 2.605.282,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.377.216 12 1.781.434,0 563.648,0 209.664 8.926.784 2.601.491,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.414.720 12 1.784.560,0 559.808,0 208.128 8.927.808 2.604.757,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
20,0 21.449.760 12 1.787.480,0 567.088,0 209.888 8.917.856 2.602.171,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.562.976 12 1.796.914,0 573.680,0 211.168 8.933.408 2.607.716,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.489.888 12 1.790.824,0 575.824,0 209.728 8.924.192 2.601.786,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.410.496 12 1.784.208,0 562.192,0 208.096 8.919.296 2.601.953,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
20,0 21.411.840 12 1.784.320,0 566.976,0 207.584 8.925.856 2.601.809,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
15,0 12.851.424 12 1.070.952,0 412.880,0 133.120 4.536.160 1.352.337,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.424.160 12 1.785.346,0 567.968,0 208.736 8.929.824 2.603.510,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
22,0 15.922.240 12 1.326.853,0 414.224,0 155.360 6.685.920 1.950.423,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.458.528 12 1.788.210,0 566.416,0 207.904 8.924.832 2.604.629,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.437.600 12 1.786.466,0 576.704,0 212.960 8.926.976 2.600.907,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.412.576 12 1.784.381,0 573.840,0 211.552 8.929.920 2.602.537,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.491.200 12 1.790.933,0 566.752,0 209.632 8.925.696 2.604.670,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
20,0 21.417.184 12 1.784.765,0 565.424,0 209.632 8.932.672 2.603.317,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.377.152 12 1.781.429,0 567.088,0 208.800 8.927.008 2.602.408,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
20,0 21.471.840 12 1.789.320,0 568.288,0 208.032 8.932.896 2.605.713,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.539.968 12 1.794.997,0 576.864,0 207.936 8.929.472 2.602.914,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.497.248 12 1.791.437,0 570.032,0 208.928 8.924.576 2.603.911,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.413.536 12 1.784.461,0 569.008,0 208.736 8.920.032 2.601.203,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
