0,0 108.864 3 36.288,0 35.808,0 34.688 38.368 1.886,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 121.376 3 40.458,0 39.552,0 38.080 43.744 2.938,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 110.272 3 36.757,0 35.808,0 35.168 39.296 2.221,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 120.224 3 40.074,0 39.712,0 37.888 42.624 2.388,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 114.816 3 38.272,0 37.728,0 36.064 41.024 2.524,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.376 3 36.458,0 35.904,0 34.464 39.008 2.322,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 110.368 3 36.789,0 36.480,0 34.912 38.976 2.049,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 114.688 3 38.229,0 37.696,0 36.256 40.736 2.287,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.920 3 36.640,0 36.160,0 34.944 38.816 1.980,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.792 3 36.597,0 36.032,0 34.336 39.424 2.590,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 120.704 3 40.234,0 39.392,0 38.592 42.720 2.189,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 119.552 3 39.850,0 39.072,0 37.984 42.496 2.354,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.256 3 36.085,0 35.552,0 34.368 38.336 2.037,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.480 3 36.160,0 35.552,0 34.720 38.208 1.821,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 122.912 3 40.970,0 40.608,0 38.656 43.648 2.515,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 113.792 3 37.930,0 36.992,0 36.000 40.800 2.533,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 122.848 3 40.949,0 40.224,0 38.944 43.680 2.449,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.728 3 36.576,0 35.520,0 34.944 39.264 2.345,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 115.264 3 38.421,0 36.928,0 36.512 41.824 2.954,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 214.368 3 71.456,0 70.848,0 68.960 74.560 2.849,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.440 3 36.480,0 35.840,0 34.464 39.136 2.400,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 114.272 3 38.090,0 37.344,0 36.416 40.512 2.147,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 212.352 3 70.784,0 70.080,0 68.640 73.632 2.569,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.376 3 36.458,0 35.904,0 34.560 38.912 2.228,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.344 3 36.448,0 35.936,0 34.560 38.848 2.189,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.024 3 36.341,0 35.456,0 35.168 38.400 1.788,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 114.560 3 38.186,0 37.728,0 36.032 40.800 2.416,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.760 3 36.586,0 36.032,0 34.784 38.944 2.134,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 110.272 3 36.757,0 36.032,0 35.360 38.880 1.868,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.768 3 36.256,0 35.840,0 34.368 38.560 2.126,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 123.296 3 41.098,0 39.744,0 39.168 44.384 2.859,0 CUDA_KERNEL lud_perimeter(float *, int, int)
