      1,0        2.354.432          1   2.354.432,0  2.354.432,0  2.354.432    2.354.432           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          457.600          1     457.600,0    457.600,0    457.600      457.600           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        1.971.936          1   1.971.936,0  1.971.936,0  1.971.936    1.971.936           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          392.000          1     392.000,0    392.000,0    392.000      392.000           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        2.918.528          1   2.918.528,0  2.918.528,0  2.918.528    2.918.528           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          533.920          1     533.920,0    533.920,0    533.920      533.920           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        2.915.584          1   2.915.584,0  2.915.584,0  2.915.584    2.915.584           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          540.128          1     540.128,0    540.128,0    540.128      540.128           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      0,0        1.966.848          1   1.966.848,0  1.966.848,0  1.966.848    1.966.848            0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          404.384          1     404.384,0    404.384,0    404.384      404.384            0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        1.978.240          1   1.978.240,0  1.978.240,0  1.978.240    1.978.240           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          408.960          1     408.960,0    408.960,0    408.960      408.960           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        2.906.528          1   2.906.528,0  2.906.528,0  2.906.528    2.906.528           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          510.976          1     510.976,0    510.976,0    510.976      510.976           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      2,0        3.972.000          1   3.972.000,0  3.972.000,0  3.972.000    3.972.000           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          549.024          1     549.024,0    549.024,0    549.024      549.024           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      0,0        1.975.136          1   1.975.136,0  1.975.136,0  1.975.136    1.975.136            0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          392.832          1     392.832,0    392.832,0    392.832      392.832            0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        2.916.608          1   2.916.608,0  2.916.608,0  2.916.608    2.916.608           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          541.792          1     541.792,0    541.792,0    541.792      541.792           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      0,0        1.967.424          1   1.967.424,0  1.967.424,0  1.967.424    1.967.424           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          484.704          1     484.704,0    484.704,0    484.704      484.704           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        1.966.752          1   1.966.752,0  1.966.752,0  1.966.752    1.966.752           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          412.256          1     412.256,0    412.256,0    412.256      412.256           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      0,0        1.975.328          1   1.975.328,0  1.975.328,0  1.975.328    1.975.328            0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          398.784          1     398.784,0    398.784,0    398.784      398.784            0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      0,0        2.106.784          1   2.106.784,0  2.106.784,0  2.106.784    2.106.784            0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          505.184          1     505.184,0    505.184,0    505.184      505.184            0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        1.955.712          1   1.955.712,0  1.955.712,0  1.955.712    1.955.712           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          397.984          1     397.984,0    397.984,0    397.984      397.984           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        2.065.760          1   2.065.760,0  2.065.760,0  2.065.760    2.065.760           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          540.000          1     540.000,0    540.000,0    540.000      540.000           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      0,0        1.990.592          1   1.990.592,0  1.990.592,0  1.990.592    1.990.592           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          510.368          1     510.368,0    510.368,0    510.368      510.368           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      0,0        2.076.288          1   2.076.288,0  2.076.288,0  2.076.288    2.076.288           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          494.688          1     494.688,0    494.688,0    494.688      494.688           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        1.970.112          1   1.970.112,0  1.970.112,0  1.970.112    1.970.112           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          403.328          1     403.328,0    403.328,0    403.328      403.328           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
