     41,0      953.847.392      3.900  244.576,0  219.008,0   170.880    416.544     59.954,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     32,0      880.356.448      3.900  225.732,0  202.944,0   173.152    417.504     59.453,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     14,0      807.061.728      3.900  206.938,0  210.528,0   177.792    241.664     13.071,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     17,0      710.647.712      3.900  182.217,0  180.032,0   176.320    223.424      5.668,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     40,0      698.061.440      3.900  178.990,0  176.896,0   172.896    215.488      5.505,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     39,0      698.510.368      3.900  179.105,0  176.992,0   173.472     222.240      5.534,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     16,0      715.116.448      3.900  183.363,0  180.192,0   177.120    876.352     13.646,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34,0      869.869.504      3.900  223.043,0  185.216,0   173.152    419.616     58.062,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     17,0      806.841.024      3.900  206.882,0  209.056,0   176.704   1.085.312     21.275,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      905.584.224      3.900  232.201,0  211.808,0   173.280    414.624     55.344,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     40,0      900.496.544      3.900  230.896,0  218.848,0   173.344    421.792     54.803,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     38,0      699.773.888      3.900  179.429,0  177.152,0   173.728    228.832      5.664,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     14,0      805.891.744      3.900  206.638,0  210.240,0   178.176    879.232     16.799,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      967.149.888      3.900  247.987,0  223.200,0   173.632    411.488     60.779,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      928.565.056      3.900  238.093,0  218.096,0   172.576     414.208     57.423,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      920.932.864      3.900  236.136,0  215.520,0   173.248    420.928     55.827,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     37,0      699.336.096      3.900  179.316,0  177.056,0   173.344    224.096      5.642,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     14,0      796.815.904      3.900  204.311,0  207.968,0   177.632    237.120     12.906,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     39,0      858.762.112      3.900    220.195,0    180.864,0    172.576     421.024     63.826,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     42,0      980.592.064      3.900    251.433,0    223.664,0    172.896    421.696     56.584,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      698.244.160      3.900  179.037,0  176.992,0   172.736    222.816      5.517,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     21,0      850.861.408      3.900    218.169,0    183.392,0    176.064    418.592     58.913,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     17,0      711.285.600      3.900  182.380,0  180.192,0   176.352    226.944      5.747,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     20,0      782.834.464      3.900  200.726,0  207.360,0   173.440    241.984     15.156,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
