7,0 256.768 4 64.192,0 62.288,0 61.984 70.208 4.013,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 147.616 4 36.904,0 34.640,0 34.464 43.872 4.647,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.216 4 64.304,0 62.256,0 61.984 70.720 4.279,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 140.032 4 35.008,0 33.296,0 33.088 40.352 3.564,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 256.928 4 64.232,0 62.384,0 62.208 69.952 3.814,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 148.192 4 37.048,0 34.944,0 34.432 43.872 4.555,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 137.952 4 34.488,0 32.944,0 32.448 39.616 3.439,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.272 4 64.568,0 62.848,0 62.048 70.528 4.013,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 267.008 4 66.752,0 64.560,0 64.288 73.600 4.567,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 139.168 4 34.792,0 33.104,0 32.192 40.768 4.007,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 256.672 4 64.168,0 62.336,0 62.112 69.888 3.818,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 147.680 4 36.920,0 34.816,0 34.432 43.616 4.468,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 140.128 4 35.032,0 33.472,0 32.640 40.544 3.696,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 258.432 4 64.608,0 62.672,0 62.080 71.008 4.294,0 CUDA_KERNEL lud_diagonal(float *, int, int)
