      8,0          257.920          4     64.480,0     63.104,0    62.304     69.408      3.307,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          217.568          3     72.522,0     70.720,0    69.216     77.632      4.488,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           30.816          3     10.272,0     10.176,0     8.000     12.640      2.321,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          256.800          4     64.200,0     62.752,0    62.240     69.056      3.269,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          215.712          3     71.904,0     69.568,0    69.056     77.088      4.496,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           30.144          3     10.048,0      9.568,0     7.968     12.608      2.356,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          257.376          4     64.344,0     62.704,0    62.368     69.600      3.514,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          215.296          3     71.765,0     69.600,0    69.088     76.608      4.201,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           30.784          3     10.261,0     10.144,0     8.096     12.544      2.226,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          257.120          4     64.280,0     62.400,0    62.368     69.952      3.781,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          217.312          3     72.437,0     70.720,0    69.280     77.312      4.282,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           30.272          3     10.090,0      9.792,0     7.936     12.544      2.318,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          256.480          4     64.120,0     62.640,0    62.336     68.864      3.170,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          215.360          3     71.786,0     69.632,0    68.672     77.056      4.588,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           30.496          3     10.165,0     10.016,0     8.128     12.352      2.116,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          257.888          4     64.472,0     62.848,0    62.400     69.792      3.569,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          216.544          3     72.181,0     70.880,0    68.992     76.672      4.002,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
