37,0 3.361.664.096 6.000 560.277,0 555.680,0 547.424 2.659.584 61.294,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.360.582.272 6.000 560.097,0 555.328,0 526.240 2.571.232 77.201,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.455.112.960 6.000 575.852,0 553.984,0 525.984 2.586.976 116.338,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.371.704.320 6.000 561.950,0 555.424,0 544.032 3.114.816 76.838,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.376.724.416 6.000 562.787,0 555.760,0 545.792 2.578.848 70.032,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.371.066.688 6.000 561.844,0 554.784,0 526.432 2.526.432 80.709,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.472.658.080 6.000 578.776,0 554.336,0 525.696 3.879.072 135.800,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.409.095.488 6.000 568.182,0 555.808,0 527.296 2.506.784 99.290,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.382.330.432 6.000 563.721,0 554.624,0 527.552 2.702.144 93.362,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.361.366.592 6.000 560.227,0 534.784,0 526.368 3.131.008 113.164,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.372.910.240 6.000 562.151,0 555.232,0 548.064 4.153.120 79.861,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.378.785.440 6.000 563.130,0 555.648,0 548.064 2.497.824 65.659,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.400.663.520 6.000 566.777,0 552.704,0 526.624 2.626.368 109.824,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.379.353.216 6.000 563.225,0 554.560,0 526.528 2.465.984 92.954,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.381.826.880 6.000 563.637,0 554.464,0 527.168 3.531.168 107.356,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
