      6,0          500.832          1    500.832,0    500.832,0    500.832    500.832          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     26,0        3.872.576          1  3.872.576,0  3.872.576,0  3.872.576  3.872.576          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          803.040          1    803.040,0    803.040,0    803.040    803.040          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     18,0        1.979.296          1  1.979.296,0  1.979.296,0  1.979.296  1.979.296          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          551.680          1    551.680,0    551.680,0    551.680    551.680          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     27,0        2.933.312          1  2.933.312,0  2.933.312,0  2.933.312  2.933.312          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          574.816          1    574.816,0    574.816,0    574.816    574.816          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     11,0        2.911.200          1  2.911.200,0  2.911.200,0  2.911.200  2.911.200          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      2,0          549.440          1    549.440,0    549.440,0    549.440    549.440          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     27,0        3.879.232          1  3.879.232,0  3.879.232,0  3.879.232  3.879.232          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          803.200          1    803.200,0    803.200,0    803.200    803.200          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
