3,0 14.110.688 127 111.107,0 108.128,0 67.712 171.776 33.450,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.428.288 127 113.608,0 108.704,0 69.280 179.488 36.068,0 CUDA_KERNEL lud_perimeter(float *, int, int)
2,0 11.467.488 127 90.295,0 80.832,0 55.968 150.464 24.952,0 CUDA_KERNEL lud_perimeter(float *, int, int)
2,0 13.593.376 127 107.034,0 101.760,0 68.896 174.368 31.623,0 CUDA_KERNEL lud_perimeter(float *, int, int)
2,0 10.968.960 127 86.369,0 79.616,0 52.416 151.072 28.538,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 12.483.744 127 98.297,0 92.128,0 68.000 156.160 26.227,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.583.072 127 106.953,0 105.152,0 67.776 157.408 29.625,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.326.656 127 112.808,0 107.776,0 67.744 180.352 36.554,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.345.440 127 112.956,0 107.072,0 69.376 174.400 35.002,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.061.152 127 110.717,0 107.776,0 67.776 171.968 33.446,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.099.136 127 111.016,0 108.064,0 67.488 171.904 33.951,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.401.792 127 113.399,0 107.168,0 69.472 180.544 35.915,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.348.096 127 112.977,0 108.256,0 68.864 174.880 35.156,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.498.496 127 114.161,0 107.264,0 68.704 180.640 36.793,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.248.896 127 112.196,0 107.616,0 69.184 173.600 34.221,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.450.496 127 113.783,0 106.112,0 68.352 180.512 37.717,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.415.840 127 113.510,0 106.368,0 68.384 180.544 37.473,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.267.712 127 104.470,0 106.624,0 44.448 164.320 38.347,0 CUDA_KERNEL lud_perimeter(float *, int, int)
