17,0 58.285.024 9 6.476.113,0 6.457.856,0 6.455.200 6.563.712 38.817,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
24,0 110.192.768 9 12.243.640,0 12.906.304,0 6.943.008 12.930.816 1.987.787,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
18,0 62.224.128 9 6.913.792,0 6.459.200,0 6.445.664 9.462.976 1.023.153,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.949.920 9 6.549.991,0 6.550.464,0 6.536.512 6.565.472 8.113,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
23,0 96.120.896 9 10.680.099,0 12.899.968,0 6.906.528 12.933.888 2.906.028,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.476.992 9 6.497.443,0 6.459.136,0 6.448.192 6.561.632 50.407,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
16,0 58.119.392 9 6.457.710,0 6.459.072,0 6.449.184 6.470.240 6.389,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
24,0 110.109.344 9 12.234.371,0 12.917.600,0 6.681.952 16.671.264 3.633.584,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 59.150.624 9 6.572.291,0 6.476.416,0 6.463.616 6.703.648 120.658,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 59.866.304 9 6.651.811,0 6.468.192,0 6.446.112 6.963.008 242.223,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.100.736 9 6.455.637,0 6.457.920,0 6.443.744 6.464.832 7.070,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
