48,0 1.150.659.008 10 115.065.900,0 91.830.208,0 86.724.224 177.604.384 39.117.424,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.028.663.232 10 102.866.323,0 91.673.072,0 86.921.856 186.070.624 30.026.704,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.123.448.864 10 112.344.886,0 92.956.048,0 86.911.296 189.913.792 40.073.966,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.135.379.744 10 113.537.974,0 91.194.432,0 85.753.536 182.654.176 37.416.090,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.266.203.456 10 126.620.345,0 93.073.392,0 86.931.360 219.113.312 55.126.358,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.168.673.088 10 116.867.308,0 91.614.768,0 86.836.544 228.435.904 54.670.990,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.391.581.472 10 139.158.147,0 91.060.976,0 87.701.568 227.932.576 64.004.929,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.161.714.240 10 116.171.424,0 91.620.576,0 86.868.928 195.372.096 42.285.572,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.352.290.176 10 135.229.017,0 125.248.192,0 88.836.384 226.075.904 50.029.529,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.466.931.232 10 146.693.123,0 145.406.112,0 88.839.392 221.782.368 55.888.411,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.355.964.992 10 135.596.499,0 92.131.344,0 88.935.520 225.912.192 58.390.620,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.196.295.168 10 119.629.516,0 101.328.992,0 90.506.816 182.042.048 35.771.397,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
