0.1 214080 3 71360.0 70336.0 68672 75072 3320.6 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214080 3 71360.0 69792.0 69344 74944 3111.9 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213888 3 71296.0 70368.0 69504 74016 2394.9 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214176 3 71392.0 70880.0 68928 74368 2755.9 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213984 3 71328.0 70848.0 68672 74464 2925.7 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213120 3 71040.0 70080.0 68672 74368 2966.9 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214240 3 71413.3 70976.0 68704 74560 2952.4 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213120 3 71040.0 69440.0 69376 74304 2826.9 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213408 3 71136.0 70112.0 68800 74496 2982.9 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212800 3 70933.3 69536.0 69056 74208 2846.1 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213888 3 71296.0 70016.0 68704 75168 3416.8 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 159904 3 53301.3 52192.0 51968 55744 2118.4 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214560 3 71520.0 70848.0 69568 74144 2360.9 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213408 3 71136.0 69472.0 69440 74496 2909.9 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212480 3 70826.7 69344.0 68704 74432 3138.7 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 215168 3 71722.7 70752.0 69440 74976 2892.8 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214080 3 71360.0 70560.0 69088 74432 2760.4 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214112 3 71370.7 70304.0 68608 75200 3423.0 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214176 3 71392.0 70048.0 69632 74496 2696.2 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213184 3 71061.3 70048.0 68640 74496 3056.7 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213056 3 71018.7 69824.0 69536 73696 2323.1 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214272 3 71424.0 70880.0 68736 74656 2997.3 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 159456 3 53152.0 52288.0 51552 55616 2165.4 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212000 3 70666.7 69824.0 68640 73536 2554.5 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214688 3 71562.7 70848.0 69760 74080 2246.9 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213120 3 71040.0 69888.0 68704 74528 3078.2 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213312 3 71104.0 70432.0 69184 73696 2329.9 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212800 3 70933.3 69408.0 68704 74688 3270.6 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212864 3 70954.7 70624.0 68640 73600 2496.5 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212928 3 70976.0 70336.0 68800 73792 2556.8 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212800 3 70933.3 70304.0 68672 73824 2633.0 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214112 3 71370.7 70784.0 69152 74176 2562.9 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213280 3 71093.3 69760.0 68704 74816 3266.9 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213696 3 71232.0 69600.0 69504 74592 2910.2 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214144 3 71381.3 70624.0 68704 74816 3125.6 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212576 3 70858.7 69760.0 68608 74208 2957.2 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212192 3 70730.7 69952.0 68672 73568 2539.2 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213664 3 71221.3 70528.0 68672 74464 2957.6 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212480 3 70826.7 69600.0 68672 74208 2964.9 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214528 3 71509.3 70400.0 68960 75168 3249.3 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213120 3 71040.0 69664.0 68640 74816 3310.0 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212064 3 70688.0 69824.0 68672 73568 2559.8 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213792 3 71264.0 70592.0 68704 74496 2953.9 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213408 3 71136.0 70048.0 68768 74592 3060.6 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214432 3 71477.3 70336.0 69568 74528 2669.7 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214080 3 71360.0 70400.0 69440 74240 2539.9 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212320 3 70773.3 69760.0 68800 73760 2630.7 CUDA_KERNEL lud_perimeter(float *, int, int)
