7,0 18.278.176 200 91.390,0 78.896,0 22.656 175.744 64.213,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 21.933.216 200 109.666,0 91.952,0 25.728 234.944 82.043,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 19.887.840 200 99.439,0 90.928,0 27.040 175.264 69.212,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 21.295.776 200 106.478,0 83.552,0 22.464 234.368 79.791,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 18.640.224 200 93.201,0 87.152,0 26.176 175.296 64.727,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 22.019.776 200 110.098,0 83.760,0 22.624 235.200 82.553,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 16.641.952 200 83.209,0 77.904,0 22.560 175.264 59.866,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 20.760.608 200 103.803,0 84.240,0 22.688 236.384 78.694,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.063.328 200 70.316,0 70.032,0 21.472 120.480 48.728,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 24.467.072 200 122.335,0 96.512,0 27.264 234.976 89.005,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 16.365.696 200 81.828,0 75.760,0 22.656 148.352 57.181,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 21.889.696 200 109.448,0 91.792,0 25.664 235.072 81.952,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 14.032.800 200 70.164,0 69.776,0 21.440 119.936 48.583,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 22.171.488 200 110.857,0 83.856,0 22.432 234.912 83.154,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.086.112 200 70.430,0 69.984,0 21.664 120.512 48.747,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 24.917.056 200 124.585,0 94.688,0 26.336 235.200 90.544,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.068.448 200 70.342,0 70.160,0 21.600 120.064 48.732,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.179.264 200 70.896,0 70.912,0 21.504 121.216 48.641,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 20.810.080 200 104.050,0 84.384,0 22.528 235.456 78.806,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 16.655.040 200 83.275,0 75.312,0 21.792 175.200 60.104,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.091.680 200 70.458,0 70.384,0 21.728 120.224 48.677,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.282.048 200 71.410,0 71.232,0 21.664 121.824 49.267,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 22.598.688 200 112.993,0 97.184,0 27.520 234.752 83.446,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.171.616 200 70.858,0 70.848,0 21.536 120.896 48.618,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 18.866.112 200 94.330,0 91.088,0 27.296 175.712 65.668,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 23.455.904 200 117.279,0 93.696,0 25.952 236.224 86.071,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 20.887.392 200 104.437,0 92.688,0 26.272 234.560 77.511,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 21.323.392 200 106.617,0 92.928,0 25.984 234.752 79.088,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
