1,0 86.528.352 2.000 43.264,0 42.304,0 39.584 101.952 6.343,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.365.664 2.000 43.682,0 42.992,0 39.680 100.224 5.398,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.582.624 2.000 44.291,0 42.624,0 41.856 105.280 7.155,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.024.416 2.000 45.012,0 43.232,0 42.336 105.952 7.671,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 84.269.728 2.000 42.134,0 40.832,0 39.968 100.736 6.438,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 86.385.408 2.000 43.192,0 42.016,0 40.192 103.520 6.197,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 84.508.800 2.000 42.254,0 41.024,0 38.784 1.124.128 24.861,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 89.585.824 2.000 44.792,0 43.296,0 40.480 2.029.216 44.735,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.873.248 2.000 44.436,0 41.632,0 39.744 100.832 10.421,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 81.948.608 2.000 40.974,0 39.440,0 38.656 100.000 6.679,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.929.792 2.000 45.464,0 43.776,0 42.976 106.976 5.892,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.903.168 2.000 45.451,0 43.968,0 40.704 1.110.880 24.737,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 85.502.464 2.000 42.751,0 40.608,0 38.304 2.192.992 48.464,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 93.258.112 2.000 46.629,0 41.984,0 41.024 1.020.800 24.568,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 110.966.912 2.000 55.483,0 43.040,0 39.744 3.275.552 73.863,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 86.169.632 2.000 43.084,0 41.568,0 39.968 101.632 7.214,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 94.125.536 2.000 47.062,0 41.472,0 39.360 99.776 11.160,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 84.105.440 2.000 42.052,0 41.120,0 38.880 99.520 6.616,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.636.096 2.000 43.818,0 42.560,0 41.696 105.952 5.817,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.165.312 2.000 43.582,0 41.248,0 39.296 1.911.776 42.406,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 92.364.320 2.000 46.182,0 45.888,0 42.400 106.080 6.879,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 86.776.000 2.000 43.388,0 40.640,0 38.912 101.056 10.364,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 86.872.544 2.000 43.436,0 41.120,0 40.320 102.752 9.201,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
