4,0 14.804.128 127 116.567,0 108.384,0 70.912 206.592 38.369,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.782.816 127 116.400,0 107.200,0 70.144 206.048 37.982,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.794.624 127 116.493,0 107.136,0 70.432 206.784 38.151,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.804.448 127 116.570,0 109.344,0 71.072 206.720 38.298,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 10.903.968 127 85.858,0 78.656,0 52.448 152.160 28.003,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.438.912 127 58.574,0 53.984,0 36.256 105.248 18.459,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.433.952 127 113.653,0 107.040,0 47.744 207.200 41.809,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.271.392 127 104.499,0 107.072,0 46.400 206.048 49.698,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.428.128 127 113.607,0 106.816,0 46.080 206.912 41.865,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.441.088 127 58.591,0 53.984,0 36.096 102.848 18.616,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.431.776 127 58.517,0 54.112,0 36.192 102.720 18.614,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.522.944 127 59.235,0 54.848,0 36.480 106.144 18.740,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 10.946.688 127 86.194,0 80.032,0 52.864 152.128 27.808,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.787.584 127 116.437,0 108.416,0 70.944 205.536 38.284,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.800.832 127 116.542,0 108.352,0 71.136 207.264 38.342,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.804.448 127 116.570,0 109.120,0 70.432 205.696 38.463,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.426.912 127 58.479,0 53.920,0 35.936 103.008 18.622,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.433.856 127 58.534,0 54.144,0 36.032 104.960 18.461,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.431.392 127 58.514,0 54.176,0 36.064 105.152 18.449,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.108.864 127 111.093,0 106.752,0 45.920 205.120 44.511,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.435.552 127 58.547,0 54.304,0 35.872 104.864 18.442,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.513.664 127 59.162,0 54.976,0 36.640 106.208 18.660,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.834.464 127 116.806,0 109.280,0 70.496 206.816 38.154,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.816.352 127 116.664,0 109.760,0 69.728 206.976 38.225,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.762.016 127 116.236,0 106.592,0 70.720 206.528 38.130,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 13.770.720 127 108.430,0 107.200,0 47.360 206.848 47.168,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.441.888 127 58.597,0 54.112,0 35.776 104.928 18.551,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.835.072 127 116.811,0 108.416,0 70.720 205.440 38.134,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.921.696 127 117.493,0 108.928,0 71.840 205.504 37.492,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 7.436.640 127 58.556,0 54.080,0 36.096 102.528 18.637,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.794.368 127 116.491,0 107.104,0 70.080 206.432 38.287,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.797.216 127 116.513,0 108.800,0 70.912 205.856 38.356,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.852.032 127 116.945,0 108.640,0 70.304 205.824 38.107,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.786.784 127 116.431,0 106.368,0 70.752 206.720 38.225,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.926.048 127 117.527,0 108.928,0 72.096 205.920 37.560,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.809.696 127 116.611,0 109.792,0 71.072 206.560 38.342,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.777.856 127 116.361,0 106.752,0 70.496 206.784 38.241,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.923.840 127 117.510,0 109.056,0 71.904 207.840 37.581,0 CUDA_KERNEL lud_perimeter(float *, int, int)
