38,0 70.607.424 127 555.964,0 418.016,0 5.280 1.668.320 488.629,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 71.678.688 127 564.399,0 427.008,0 5.312 1.714.432 495.982,0 CUDA_KERNEL lud_internal(float *, int, int)
35,0 133.374.144 127 1.050.190,0 789.952,0 9.408 3.217.984 934.217,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 132.594.752 127 1.044.053,0 796.736,0 9.312 3.156.128 934.772,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 139.151.968 127 1.095.684,0 722.912,0 8.672 7.639.520 1.164.317,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 128.454.560 127 1.011.453,0 725.056,0 8.192 3.155.840 932.023,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 70.329.824 127 553.778,0 412.448,0 5.600 1.664.672 488.303,0 CUDA_KERNEL lud_internal(float *, int, int)
35,0 132.092.864 127 1.040.101,0 781.120,0 9.536 3.156.512 926.424,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 136.338.944 127 1.073.535,0 768.736,0 10.912 3.712.544 965.836,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 64.033.504 127 504.200,0 374.656,0 5.056 1.518.016 445.651,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 131.524.448 127 1.035.625,0 737.728,0 8.672 3.195.808 940.916,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 130.194.848 127 1.025.156,0 783.200,0 9.856 3.143.648 929.178,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 132.776.032 127 1.045.480,0 792.544,0 9.408 3.134.176 926.892,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 129.521.056 127 1.019.850,0 728.800,0 8.992 3.148.320 921.746,0 CUDA_KERNEL lud_internal(float *, int, int)
