2,0 7.138.464 128 55.769,0 62.688,0 40.000 72.160 10.431,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.127.520 128 63.496,0 63.504,0 62.240 72.064 1.086,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.172.928 128 63.851,0 63.696,0 63.136 71.936 861,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.119.456 128 63.433,0 63.136,0 62.304 71.648 1.070,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.109.760 128 63.357,0 63.312,0 62.336 71.520 943,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.179.136 128 63.899,0 63.792,0 63.168 71.456 788,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.059.680 128 47.341,0 47.168,0 46.752 53.024 689,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.135.520 128 32.308,0 32.352,0 31.840 36.896 468,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 7.768.704 128 60.693,0 63.072,0 41.408 71.392 7.122,0 CUDA_KERNEL lud_diagonal(float *, int, int)
1,0 6.870.976 128 53.679,0 62.480,0 39.872 72.032 11.264,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 7.770.656 128 60.708,0 62.896,0 39.968 72.448 7.251,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.120.896 128 32.194,0 32.144,0 31.808 36.160 393,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.124.128 128 32.219,0 32.112,0 31.872 36.224 420,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.172.352 128 32.596,0 32.640,0 32.064 37.088 458,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.103.808 128 47.686,0 47.680,0 46.752 53.344 670,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.175.488 128 63.871,0 63.712,0 63.168 72.800 899,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.173.184 128 63.853,0 63.744,0 63.136 71.520 782,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.171.104 128 63.836,0 63.744,0 63.168 71.456 802,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.119.200 128 32.181,0 32.064,0 31.808 36.192 422,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.127.584 128 32.246,0 32.256,0 31.840 36.864 470,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.120.832 128 32.194,0 32.160,0 31.840 36.320 431,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 7.492.192 128 58.532,0 63.040,0 39.840 71.680 9.411,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.125.664 128 32.231,0 32.256,0 31.808 36.320 434,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.158.880 128 32.491,0 32.480,0 32.000 36.672 418,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.138.336 128 63.580,0 63.664,0 62.336 72.512 1.094,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.136.384 128 63.565,0 63.568,0 62.240 72.704 1.141,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.105.632 128 63.325,0 63.088,0 62.272 71.936 1.277,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 7.190.848 128 56.178,0 62.544,0 39.360 72.288 10.282,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.126.592 128 32.239,0 32.256,0 31.808 36.640 466,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.151.072 128 63.680,0 63.680,0 62.368 72.224 1.035,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.232.800 128 64.318,0 64.096,0 63.552 71.776 1.114,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.118.976 128 32.179,0 32.128,0 31.776 36.096 374,0 CUDA_KERNEL lud_diagonal(float *, int, int)
