8,0 362.336 8 45.292,0 46.864,0 17.184 69.312 15.347,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 365.696 8 45.712,0 46.400,0 17.344 75.456 16.855,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 367.744 8 45.968,0 46.672,0 17.632 72.864 16.155,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 363.744 8 45.468,0 46.800,0 18.432 68.896 15.311,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 364.512 8 45.564,0 46.560,0 18.784 69.600 15.345,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 358.432 8 44.804,0 46.384,0 17.920 68.256 14.969,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 364.640 8 45.580,0 46.624,0 18.400 67.808 14.834,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 366.784 8 45.848,0 46.784,0 18.560 69.952 15.260,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 268.288 8 33.536,0 32.336,0 11.072 60.800 14.427,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 366.528 8 45.816,0 46.096,0 17.952 73.280 16.292,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 376.000 8 47.000,0 46.928,0 18.560 80.736 18.012,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 367.328 8 45.916,0 46.400,0 19.904 71.456 15.553,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 360.800 8 45.100,0 46.960,0 18.816 66.528 14.448,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 368.064 8 46.008,0 46.832,0 18.624 71.744 15.902,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 363.392 8 45.424,0 47.312,0 17.696 67.616 15.097,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 365.536 8 45.692,0 46.672,0 18.592 70.336 15.288,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 357.120 8 44.640,0 46.384,0 18.144 62.784 13.983,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 373.056 8 46.632,0 47.008,0 17.312 76.800 17.459,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 360.736 8 45.092,0 46.112,0 18.080 67.680 15.008,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 366.720 8 45.840,0 46.672,0 19.936 69.376 14.889,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 264.800 8 33.100,0 33.440,0 10.752 58.528 13.923,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 362.560 8 45.320,0 45.968,0 17.440 68.416 15.311,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 365.760 8 45.720,0 46.512,0 18.944 71.104 15.512,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 375.392 8 46.924,0 46.864,0 18.240 75.456 16.881,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 360.576 8 45.072,0 46.480,0 18.816 65.440 14.219,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 360.672 8 45.084,0 46.544,0 17.344 67.552 15.060,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 364.064 8 45.508,0 46.032,0 18.336 70.240 15.459,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 362.400 8 45.300,0 45.872,0 18.016 70.976 15.707,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8,0 371.296 8 46.412,0 47.216,0 18.592 73.216 16.212,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
7,0 366.272 8 45.784,0 46.800,0 17.184 69.856 15.700,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
