0,0 329.088 3 109.696,0 109.984,0 108.928 110.176 672,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 331.456 3 110.485,0 110.912,0 109.600 110.944 766,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 342.528 3 114.176,0 112.352,0 108.512 121.664 6.763,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 341.184 3 113.728,0 111.584,0 110.464 119.136 4.716,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 338.144 3 112.714,0 111.616,0 111.392 115.136 2.099,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 328.256 3 109.418,0 108.736,0 108.480 111.040 1.409,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 337.184 3 112.394,0 113.312,0 110.176 113.696 1.931,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 341.600 3 113.866,0 111.136,0 108.416 122.048 7.214,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 335.648 3 111.882,0 111.232,0 110.144 114.272 2.139,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 333.056 3 111.018,0 111.488,0 109.024 112.544 1.806,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 338.240 3 112.746,0 113.280,0 110.848 114.112 1.696,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 333.696 3 111.232,0 111.488,0 108.704 113.504 2.410,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 340.128 3 113.376,0 111.936,0 108.544 119.648 5.690,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 342.944 3 114.314,0 112.864,0 110.592 119.488 4.622,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 336.256 3 112.085,0 112.192,0 108.032 116.032 4.001,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 337.472 3 112.490,0 112.224,0 112.192 113.056 489,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 334.688 3 111.562,0 111.968,0 109.408 113.312 1.983,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 329.824 3 109.941,0 109.728,0 109.632 110.464 455,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 331.648 3 110.549,0 110.176,0 109.120 112.352 1.648,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
