6.9 15917984 12 1326498.7 409392.0 151840 6712736 1960788.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20900544 12 1741712.0 523120.0 202240 8953568 2618676.9 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.5 20887488 12 1740624.0 520336.0 199936 8944256 2616109.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.3 20931456 12 1744288.0 523920.0 201728 8953248 2618886.6 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20889184 12 1740765.3 520160.0 200800 8950272 2616085.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6.8 15893664 12 1324472.0 408064.0 152384 6711584 1960078.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.2 20884576 12 1740381.3 520880.0 199808 8946144 2614811.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20942336 12 1745194.7 518528.0 200800 8940960 2616757.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.2 20896384 12 1741365.3 519952.0 200064 8957984 2619482.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.2 20911392 12 1742616.0 521840.0 200832 8946240 2615242.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20913728 12 1742810.7 519600.0 202176 8952256 2617596.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.3 20900128 12 1741677.3 524144.0 202656 8941856 2614787.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.3 20919520 12 1743293.3 522240.0 201024 8944128 2618988.0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.5 20904832 12 1742069.3 517984.0 199968 8951072 2616897.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.3 20927360 12 1743946.7 522816.0 199648 8946624 2616850.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20960256 12 1746688.0 522368.0 199488 8943904 2618047.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.5 20889632 12 1740802.7 520400.0 200768 8946976 2615860.6 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20885696 12 1740474.7 518480.0 200448 8944672 2616910.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.3 20946112 12 1745509.3 520384.0 200192 8946144 2618028.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20893504 12 1741125.3 522928.0 201856 8950016 2616557.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6.9 15926400 12 1327200.0 410992.0 152320 6709248 1960531.6 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.5 20900256 12 1741688.0 518496.0 200128 8953984 2617217.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.5 20923680 12 1743640.0 518224.0 200832 8946208 2617390.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20918976 12 1743248.0 521056.0 201376 8948448 2617283.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.3 20907648 12 1742304.0 517232.0 201632 8954976 2618749.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20887520 12 1740626.7 516832.0 200960 8958048 2619423.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20946560 12 1745546.7 522512.0 201696 8943040 2617184.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20923104 12 1743592.0 520256.0 200064 8946336 2618004.1 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20923744 12 1743645.3 520768.0 200320 8949760 2617492.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.5 20879360 12 1739946.7 520544.0 200480 8955680 2617657.0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20897472 12 1741456.0 521376.0 199264 8954496 2617309.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20914432 12 1742869.3 522368.0 200928 8944608 2615539.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
