45,0 73.246.688 100 732.466,0 728.176,0 697.888 784.224 19.691,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
42,0 78.025.536 100 780.255,0 763.184,0 355.264 3.080.352 598.193,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
39,0 41.266.784 100 412.667,0 359.552,0 353.952 2.560.640 314.717,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
39,0 33.989.216 100 339.892,0 339.344,0 338.208 385.760 4.686,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
38,0 38.628.416 100 386.284,0 395.648,0 357.600 445.984 16.821,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
40,0 63.870.624 100 638.706,0 761.952,0 394.112 837.056 185.458,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
44,0 74.645.280 100 746.452,0 743.744,0 703.776 821.376 24.879,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
37,0 30.996.096 100 309.961,0 309.488,0 306.464 356.384 4.908,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
41,0 31.115.072 100 311.150,0 310.320,0 308.544 380.832 7.111,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
40,0 31.196.928 100 311.969,0 311.264,0 308.224 371.968 6.190,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
38,0 42.309.408 100 423.094,0 394.432,0 314.880 2.865.632 313.016,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
45,0 35.116.064 100 351.160,0 351.328,0 327.456 419.712 8.352,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
42,0 38.170.496 100 381.705,0 395.264,0 316.576 464.864 29.902,0 CUDA_KERNEL hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
