2,0 8.323.232 128 65.025,0 65.616,0 61.152 70.624 3.055,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.275.648 128 64.653,0 63.744,0 61.152 70.496 3.000,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.395.488 128 65.589,0 66.224,0 62.240 70.656 2.657,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.399.552 128 65.621,0 67.504,0 62.272 71.328 2.852,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.284.736 128 64.724,0 64.848,0 61.248 71.296 2.875,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.435.296 128 65.900,0 67.648,0 62.272 70.624 2.607,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.298.496 128 64.832,0 65.936,0 61.184 70.336 3.004,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.388.256 128 65.533,0 65.296,0 62.272 71.360 2.689,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.330.752 128 65.084,0 66.768,0 61.248 70.496 3.072,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.388.096 128 65.532,0 67.072,0 62.272 70.048 2.701,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.293.184 128 64.790,0 65.296,0 61.152 70.144 3.092,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.593.184 128 35.884,0 36.608,0 32.704 41.408 2.606,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.258.720 128 64.521,0 64.112,0 61.184 70.048 2.920,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.356.480 128 65.285,0 66.048,0 61.248 70.784 2.645,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.300.192 128 64.845,0 65.792,0 61.184 70.848 2.838,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.394.560 128 65.582,0 67.056,0 62.272 70.848 2.708,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.383.776 128 65.498,0 64.880,0 62.272 71.296 2.608,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.409.248 128 65.697,0 67.392,0 62.272 70.560 2.711,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.327.936 128 65.062,0 64.512,0 61.152 71.936 2.973,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.412.544 128 65.723,0 66.944,0 62.272 71.232 2.717,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.368.768 128 65.381,0 64.112,0 62.272 71.360 2.706,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.563.968 128 35.656,0 36.528,0 32.672 40.832 2.616,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.388.672 128 65.536,0 65.728,0 62.272 71.168 2.629,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.340.192 128 65.157,0 65.088,0 61.216 70.976 2.845,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.345.664 128 65.200,0 66.720,0 61.248 71.328 3.131,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.401.312 128 65.635,0 65.808,0 62.304 70.752 2.625,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.609.056 128 36.008,0 35.776,0 32.864 40.000 2.085,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.385.760 128 65.513,0 65.120,0 62.304 70.624 2.584,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.284.800 128 64.725,0 64.272,0 61.216 70.496 2.955,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.419.584 128 65.778,0 66.960,0 62.304 70.816 2.550,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.400.352 128 65.627,0 67.488,0 62.272 70.624 2.658,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.408.512 128 65.691,0 67.376,0 62.272 71.200 2.661,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.332.384 128 65.096,0 66.400,0 61.216 70.368 3.096,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.356.960 128 65.288,0 66.672,0 61.120 70.144 2.998,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.421.824 128 65.795,0 67.760,0 62.304 70.464 2.591,0 CUDA_KERNEL lud_diagonal(float *, int, int)
