      0,0           67.584          1      67.584,0   67.584,0    67.584       67.584            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.544          1      68.544,0   68.544,0    68.544       68.544            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           67.840          1      67.840,0   67.840,0    67.840       67.840            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.320          1      68.320,0   68.320,0    68.320       68.320            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           67.648          1      67.648,0   67.648,0    67.648       67.648            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           69.152          1      69.152,0   69.152,0    69.152       69.152            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           44.096          1      44.096,0   44.096,0    44.096       44.096           0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.416          1      68.416,0   68.416,0    68.416       68.416            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           69.120          1      69.120,0   69.120,0    69.120       69.120            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.832          1      68.832,0   68.832,0    68.832       68.832            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.384          1      68.384,0   68.384,0    68.384       68.384           0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.640          1      68.640,0   68.640,0    68.640       68.640            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           67.232          1      67.232,0   67.232,0    67.232       67.232            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           67.744          1      67.744,0   67.744,0    67.744       67.744            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           35.552          1      35.552,0   35.552,0    35.552       35.552           0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.480          1      68.480,0   68.480,0    68.480       68.480            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.192          1      68.192,0   68.192,0    68.192       68.192            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.800          1      68.800,0   68.800,0    68.800       68.800            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           67.264          1      67.264,0   67.264,0    67.264       67.264            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           67.968          1      67.968,0     67.968,0    67.968       67.968            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           34.784          1      34.784,0  34.784,0    34.784       34.784           0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           69.120          1      69.120,0   69.120,0    69.120       69.120            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.768          1      68.768,0   68.768,0    68.768       68.768            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           34.880          1      34.880,0  34.880,0    34.880       34.880           0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.224          1      68.224,0   68.224,0    68.224       68.224            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           67.584          1      67.584,0   67.584,0    67.584       67.584            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           67.744          1      67.744,0   67.744,0    67.744       67.744            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           67.616          1      67.616,0   67.616,0    67.616       67.616            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.192          1      68.192,0   68.192,0    68.192       68.192            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0,0           68.000          1      68.000,0   68.000,0    68.000       68.000            0,0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
