     36.4       1238743616       3900     317626.6     345856.0     254208     443136      44714.7  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.2       1217510496       3900     312182.2     345792.0     254496     434912      45465.2  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.2       1162625600       3900     298109.1     265280.0     254208     432000      45050.1  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.0       1368049248       3900     350781.9     346496.0     338592     422752      11020.6  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.7       1208335616       3900     309829.6     345824.0     254336     432032      45711.3  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.2       1235417440       3900     316773.7     345856.0     254624     432192      44830.1  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.1       1276930912       3900     327418.2     346048.0     253504     433664      41246.7  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.9       1160726400       3900     297622.2     265072.0     253888     431392      44998.9  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.0        988662240       3900     253503.1     259392.0     172640     404416      58522.9  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.3       1186879008       3900     304328.0     270064.0     254208     432000      45847.1  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.2       1111440544       3900     284984.8     260128.0     254560     456224      40294.7  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.4       1231304544       3900     315719.1     345856.0     253728     450016      45048.9  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.8       1032371264       3900     264710.6     259488.0     203136     431584      53462.5  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     33.9       1140571072       3900     292454.1     263632.0     253568     431232      43769.5  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34.7       1368715072       3900     350952.6     346592.0     338912     435232      11273.9  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.4       1311292352       3900     336228.8     346272.0     254208     441440      35267.5  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
