0.0 71456 8 8932.0 8640.0 8064 11264 1043.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68736 8 8592.0 8384.0 8128 10336 718.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68928 8 8616.0 8256.0 7744 11680 1268.3 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68704 8 8588.0 8320.0 8160 10336 719.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68288 8 8536.0 8336.0 8096 10400 760.1 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69600 8 8700.0 8320.0 8032 11040 1000.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 68704 8 8588.0 8272.0 7936 11040 1017.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 67776 8 8472.0 8272.0 7904 10432 805.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 69312 8 8664.0 8320.0 8160 10816 888.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 70272 8 8784.0 8368.0 7904 11136 1060.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 70272 8 8784.0 8656.0 8096 10432 753.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 70560 8 8820.0 8736.0 8160 10336 674.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
0.0 70208 8 8776.0 8384.0 8160 10688 834.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
