1,0 3.266.656 12 272.221,0 302.768,0 194.752 342.112 65.105,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.253.120 12 271.093,0 299.248,0 194.304 341.440 64.851,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.269.504 12 272.458,0 302.080,0 194.848 344.544 65.595,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.317.600 12 276.466,0 306.288,0 194.688 343.456 63.501,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.272.256 12 272.688,0 302.160,0 194.592 345.760 65.833,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.244.992 12 270.416,0 297.536,0 194.432 340.576 64.102,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.322.976 12 276.914,0 312.000,0 195.552 343.616 64.817,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.252.896 12 271.074,0 298.512,0 194.880 341.408 64.818,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.273.824 12 272.818,0 302.512,0 194.528 344.480 65.687,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.340.096 12 278.341,0 308.000,0 194.656 343.808 62.815,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.265.824 12 272.152,0 302.480,0 194.240 342.912 65.509,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.271.360 12 272.613,0 302.656,0 195.136 343.904 65.414,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.268.544 12 272.378,0 303.776,0 195.776 342.752 65.495,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.259.776 12 271.648,0 297.696,0 195.424 343.744 65.130,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.264.160 12 272.013,0 301.520,0 194.752 344.128 64.748,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.274.976 12 272.914,0 304.208,0 195.328 342.496 65.122,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.268.000 12 272.333,0 301.696,0 194.528 341.664 64.838,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.269.504 12 272.458,0 301.120,0 194.688 344.352 65.514,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.272.576 12 272.714,0 303.552,0 194.528 342.688 65.066,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.264.896 12 272.074,0 301.904,0 194.176 343.264 65.540,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 3.260.000 12 271.666,0 301.072,0 194.944 342.208 65.173,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
