28,0 11.273.312 1 11.273.312,0 11.273.312,0 11.273.312 11.273.312 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.273.216 1 11.273.216,0 11.273.216,0 11.273.216 11.273.216 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 11.276.608 1 11.276.608,0 11.276.608,0 11.276.608 11.276.608 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.274.560 1 11.274.560,0 11.274.560,0 11.274.560 11.274.560 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 11.270.432 1 11.270.432,0 11.270.432,0 11.270.432 11.270.432 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 11.272.160 1 11.272.160,0 11.272.160,0 11.272.160 11.272.160 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 11.271.488 1 11.271.488,0 11.271.488,0 11.271.488 11.271.488 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 11.271.360 1 11.271.360,0 11.271.360,0 11.271.360 11.271.360 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
26,0 11.269.888 1 11.269.888,0 11.269.888,0 11.269.888 11.269.888 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.275.424 1 11.275.424,0 11.275.424,0 11.275.424 11.275.424 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
26,0 11.270.944 1 11.270.944,0 11.270.944,0 11.270.944 11.270.944 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.274.400 1 11.274.400,0 11.274.400,0 11.274.400 11.274.400 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.271.680 1 11.271.680,0 11.271.680,0 11.271.680 11.271.680 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.272.896 1 11.272.896,0 11.272.896,0 11.272.896 11.272.896 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 11.272.672 1 11.272.672,0 11.272.672,0 11.272.672 11.272.672 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.273.344 1 11.273.344,0 11.273.344,0 11.273.344 11.273.344 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.271.840 1 11.271.840,0 11.271.840,0 11.271.840 11.271.840 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 11.274.688 1 11.274.688,0 11.274.688,0 11.274.688 11.274.688 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 11.271.392 1 11.271.392,0 11.271.392,0 11.271.392 11.271.392 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.273.504 1 11.273.504,0 11.273.504,0 11.273.504 11.273.504 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.274.464 1 11.274.464,0 11.274.464,0 11.274.464 11.274.464 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
29,0 8.454.016 1 8.454.016,0 8.454.016,0 8.454.016 8.454.016 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.271.040 1 11.271.040,0 11.271.040,0 11.271.040 11.271.040 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.273.792 1 11.273.792,0 11.273.792,0 11.273.792 11.273.792 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
28,0 11.272.000 1 11.272.000,0 11.272.000,0 11.272.000 11.272.000 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
27,0 11.271.808 1 11.271.808,0 11.271.808,0 11.271.808 11.271.808 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
29,0 8.453.056 1 8.453.056,0 8.453.056,0 8.453.056 8.453.056 0,0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
