5,0 4.159.776 12 346.648,0 309.488,0 294.976 468.128 73.869,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.170.624 12 347.552,0 308.640,0 294.816 476.672 76.148,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.173.280 12 347.773,0 308.512,0 294.816 478.016 76.255,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.168.128 12 347.344,0 309.808,0 294.848 474.432 76.125,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.167.584 12 347.298,0 309.664,0 294.688 471.840 75.299,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.162.720 12 346.893,0 310.832,0 295.008 470.496 74.232,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.164.704 12 347.058,0 309.104,0 294.304 472.352 75.379,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.174.752 12 347.896,0 308.928,0 294.752 477.888 76.514,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.164.384 12 347.032,0 309.776,0 294.560 468.800 74.378,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.183.328 12 348.610,0 311.616,0 296.768 470.112 73.193,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.178.624 12 348.218,0 310.928,0 296.608 474.336 73.983,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.176.160 12 348.013,0 310.976,0 295.072 472.608 75.033,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.196.960 12 349.746,0 313.184,0 301.344 469.632 71.101,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.158.752 12 346.562,0 309.296,0 294.784 470.688 75.152,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.172.704 12 347.725,0 310.832,0 294.784 476.512 75.677,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
5,0 4.197.952 12 349.829,0 314.752,0 300.992 470.272 72.174,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
